Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.005661	0.008220	-0.575435	0.817786	-0.011529	1.143671	-70.264374
0.005661	0.008220	-0.575435	0.817786	-0.011529	1.143671	-70.264374
0.005661	0.008220	-0.575435	0.817786	-0.011529	1.143671	-70.264374
0.006389	0.009265	-0.574737	0.818261	-0.011126	1.289628	-70.167641
0.003827	0.008715	-0.587650	0.809059	-0.232100	1.065750	-71.986790
0.003827	0.008715	-0.587650	0.809059	-0.232100	1.065750	-71.986790
0.003827	0.008715	-0.587650	0.809059	-0.232100	1.065750	-71.986790
0.003827	0.008715	-0.587650	0.809059	-0.232100	1.065750	-71.986790
0.003870	0.008866	-0.587872	0.808896	-0.238582	1.082581	-72.018446
0.003148	0.009994	-0.591886	0.805954	-0.387188	1.136588	-72.590350
0.003148	0.009994	-0.591886	0.805954	-0.387188	1.136588	-72.590350
0.003148	0.009994	-0.591886	0.805954	-0.387188	1.136588	-72.590350
0.003148	0.009994	-0.591886	0.805954	-0.387188	1.136588	-72.590350
0.003252	0.010166	-0.592500	0.805500	-0.390137	1.159232	-72.677965
0.002260	0.009351	-0.594718	0.803877	-0.429153	1.015462	-72.992777
0.002260	0.009351	-0.594718	0.803877	-0.429153	1.015462	-72.992777
0.002260	0.009351	-0.594718	0.803877	-0.429153	1.015462	-72.992777
0.002260	0.009351	-0.594718	0.803877	-0.429153	1.015462	-72.992777
0.002512	0.009707	-0.594705	0.803881	-0.430193	1.065440	-72.991504
0.001637	0.010315	-0.596503	0.802543	-0.554631	1.060572	-73.249475
0.001637	0.010315	-0.596503	0.802543	-0.554631	1.060572	-73.249475
0.001637	0.010315	-0.596503	0.802543	-0.554631	1.060572	-73.249475
0.001637	0.010315	-0.596503	0.802543	-0.554631	1.060572	-73.249475
0.001364	0.010038	-0.597117	0.802090	-0.561574	1.016005	-73.336761
0.001417	0.010948	-0.597930	0.801472	-0.620119	1.102644	-73.454774
0.001417	0.010948	-0.597930	0.801472	-0.620119	1.102644	-73.454774
0.001417	0.010948	-0.597930	0.801472	-0.620119	1.102644	-73.454774
0.001417	0.010948	-0.597930	0.801472	-0.620119	1.102644	-73.454774
0.001227	0.010806	-0.597502	0.801794	-0.627260	1.076916	-73.393323
0.001078	0.010357	-0.599122	0.800590	-0.612266	1.024224	-73.624207
0.001078	0.010357	-0.599122	0.800590	-0.612266	1.024224	-73.624207
0.001078	0.010357	-0.599122	0.800590	-0.612266	1.024224	-73.624207
0.001078	0.010357	-0.599122	0.800590	-0.612266	1.024224	-73.624207
0.001598	0.010748	-0.599119	0.800586	-0.591411	1.095802	-73.624389
0.000434	0.010611	-0.600491	0.799561	-0.690514	1.002126	-73.821033
0.000434	0.010611	-0.600491	0.799561	-0.690514	1.002126	-73.821033
0.000434	0.010611	-0.600491	0.799561	-0.690514	1.002126	-73.821033
0.000434	0.010611	-0.600491	0.799561	-0.690514	1.002126	-73.821033
0.001393	0.010997	-0.600239	0.799744	-0.628868	1.103690	-73.785366
0.000943	0.011745	-0.601046	0.799128	-0.722743	1.140552	-73.902845
